antecedent_verb	antecedent_polarity	antecedent_frame	target	consequent_verb	consequent_embedded_tense	antecedent_text	response_normalized
hold	negative	NP V that S	subject	believe	past	A didn't hold that C happened	0.29537880420684814
measure	negative	NP V that S	subject	believe	past	A didn't measure that C happened	0.3260897696018219
growl	negative	NP V to NP that S[+future]	subject	believe	future	A didn't growl to B that C would happen	0.4518750309944153
unnerve	negative	NP be V that S	subject	want	past	A wasn't unnerved that C happened	0.6162024736404419
chat	negative	NP V to NP that S	subject	want	past	A didn't chat to B that C happened	0.3928705155849457
imply	negative	NP V to NP that S	subject	believe	past	A didn't imply to B that C happened	0.4211086928844452
reminisce	positive	NP V that S[+future]	subject	believe	future	A reminisced that C would happen	0.6801378726959229
connect	positive	NP V that S[+future]	subject	want	future	A connected that C would happen	0.6896137595176697
forecast	positive	NP V that S	subject	want	past	A forecasted that C happened	0.7184242010116577
appraise	positive	NP V that S[+future]	subject	believe	future	A appraised that C would happen	0.8261699080467224
ascertain	positive	NP V that S[+future]	subject	believe	future	A ascertained that C would happen	0.9075939655303955
yell	positive	NP V to NP that S[+future]	subject	believe	future	A yelled to B that C would happen	0.8793736100196838
fear	negative	NP V that S[+future]	subject	want	future	A didn't fear that C would happen	0.6580230593681335
clarify	negative	NP V to NP that S[+future]	subject	want	future	A didn't clarify to B that C would happen	0.40944889187812805
verify	positive	NP V that S[+future]	subject	want	future	A verified that C would happen	0.662105917930603
jest	negative	NP V that S	subject	want	past	A didn't jest that C happened	0.45811349153518677
prompt	negative	NP V that S	subject	believe	past	A didn't prompt that C happened	0.41340771317481995
obsess	negative	NP V that S	subject	want	past	A didn't obsess that C happened	0.39738860726356506
justify	positive	NP V that S[+future]	subject	want	future	A justified that C would happen	0.8296701908111572
demonstrate	positive	NP V to NP that S[+future]	object	believe	future	A demonstrated to B that C would happen	0.6974371671676636
direct	positive	NP V that S[+future]	subject	believe	future	A directed that C would happen	0.8678825497627258
sulk	negative	NP V to NP that S[+future]	object	believe	future	A didn't sulk to B that C would happen	0.5433155298233032
chant	positive	NP V to NP that S[+future]	object	believe	future	A chanted to B that C would happen	0.6758370399475098
vow	positive	NP V that S	subject	want	past	A vowed that C happened	0.7581860423088074
leak	positive	NP V to NP that S[+future]	subject	want	future	A leaked to B that C would happen	0.6407460570335388
update	negative	NP V NP that S	object	believe	past	A didn't update B that C happened	0.31077975034713745
fuss	positive	NP V to NP that S[+future]	subject	believe	future	A fussed to B that C would happen	0.8054820895195007
persuade	positive	NP V NP that S[+future]	object	want	future	A persuaded B that C would happen	0.4353174865245819
establish	negative	NP V to NP that S	object	believe	past	A didn't establish to B that C happened	0.20152045786380768
explain	positive	NP V that S	subject	want	past	A explained that C happened	0.5397104024887085
urge	positive	NP V that S	subject	want	past	A urged that C happened	0.7051867246627808
growl	negative	NP V to NP that S	subject	believe	past	A didn't growl to B that C happened	0.5462608933448792
register	negative	NP V that S[+future]	subject	want	future	A didn't register that C would happen	0.3793097734451294
confirm	positive	NP be V that S[+future]	subject	want	future	A was confirmed that C would happen	0.6632359623908997
thrill	positive	NP be V that S	subject	want	past	A was thrilled that C happened	0.9657811522483826
stagger	positive	NP be V that S	subject	believe	past	A was staggered that C happened	0.7452825307846069
track	negative	NP V that S	subject	believe	past	A didn't track that C happened	0.3264889717102051
joke	negative	NP V to NP that S	subject	want	past	A didn't joke to B that C happened	0.44501569867134094
reveal	negative	NP V to NP that S[+future]	subject	believe	future	A didn't reveal to B that C would happen	0.5981611013412476
test	negative	NP be V that S[+future]	subject	believe	future	A wasn't tested that C would happen	0.4264487326145172
displease	positive	NP be V that S[+future]	subject	believe	future	A was displeased that C would happen	0.6786285638809204
note	positive	NP V to NP that S	object	want	past	A noted to B that C happened	0.5243960022926331
endorse	negative	NP V that S[-tense]	subject	believe	future	A didn't endorse that C happen	0.384844571352005
caution	negative	NP V to NP that S[+future]	object	want	future	A didn't caution to B that C would happen	0.2968878746032715
yell	negative	NP V to NP that S	object	believe	past	A didn't yell to B that C happened	0.4021387994289398
chirp	negative	NP V that S	subject	want	past	A didn't chirp that C happened	0.3833484649658203
remind	negative	NP V that S[+future]	subject	want	future	A didn't remind that C would happen	0.42586860060691833
file	negative	NP V that S	subject	want	past	A didn't file that C happened	0.41579461097717285
praise	negative	NP V that S	subject	believe	past	A didn't praise that C happened	0.6595315337181091
hoot	negative	NP V that S	subject	want	past	A didn't hoot that C happened	0.4065559208393097
propose	negative	NP V to NP that S[+future]	subject	believe	future	A didn't propose to B that C would happen	0.4165324866771698
post	positive	NP V that S[+future]	subject	want	future	A posted that C would happen	0.6919172406196594
prefer	positive	NP V that S[-tense]	subject	believe	future	A preferred that C happen	0.6587947010993958
deny	negative	NP be V that S[+future]	subject	believe	future	A wasn't denied that C would happen	0.7372239828109741
agree	positive	NP V that S[+future]	subject	want	future	A agreed that C would happen	0.6876697540283203
describe	positive	NP V to NP that S[+future]	object	believe	future	A described to B that C would happen	0.7139795422554016
phone	negative	NP V to NP that S[+future]	object	believe	future	A didn't phone to B that C would happen	0.4418475925922394
shriek	negative	NP V to NP that S	object	want	past	A didn't shriek to B that C happened	0.4688228666782379
lecture	negative	NP V to NP that S	object	want	past	A didn't lecture to B that C happened	0.28707659244537354
okay	positive	NP V that S	subject	want	past	A okayed that C happened	0.7060250043869019
adore	positive	NP be V that S	subject	believe	past	A was adored that C happened	0.8280052542686462
allege	negative	NP be V that S	subject	want	past	A wasn't alleged that C happened	0.47303640842437744
declare	positive	NP V that S[+future]	subject	believe	future	A declared that C would happen	0.8932386636734009
fess_up	positive	NP V to NP that S	subject	want	past	A fessed up to B that C happened	0.35812586545944214
complain	positive	NP V that S[+future]	subject	believe	future	A complained that C would happen	0.7368354797363281
whimper	negative	NP V to NP that S[+future]	object	believe	future	A didn't whimper to B that C would happen	0.4740242063999176
groan	positive	NP V that S	subject	believe	past	A groaned that C happened	0.8511272668838501
document	positive	NP V that S[+future]	subject	believe	future	A documented that C would happen	0.9383049607276917
remind	positive	NP V NP that S[+future]	subject	believe	future	A reminded B that C would happen	0.9021655917167664
threaten	negative	NP V to NP that S[+future]	object	want	future	A didn't threaten to B that C would happen	0.2873653471469879
grimace	positive	NP V that S	subject	believe	past	A grimaced that C happened	0.8302800059318542
scoff	negative	NP V that S[+future]	subject	believe	future	A didn't scoff that C would happen	0.6435703039169312
assure	positive	NP V that S	subject	want	past	A assured that C happened	0.8149096369743347
approve	negative	NP be V that S[-tense]	subject	believe	future	A wasn't approved that C happen	0.4943042993545532
mumble	positive	NP V to NP that S	object	want	past	A mumbled to B that C happened	0.40303367376327515
gloat	negative	NP V that S[+future]	subject	want	future	A didn't gloat that C would happen	0.7276829481124878
flip_out	negative	NP V that S	subject	want	past	A didn't flip out that C happened	0.5616436004638672
dispatch	negative	NP V that S	subject	want	past	A didn't dispatch that C happened	0.422271192073822
prophesy	positive	NP V to NP that S[+future]	subject	want	future	A prophesied to B that C would happen	0.7291024327278137
email	positive	NP V NP that S[+future]	subject	believe	future	A emailed B that C would happen	0.8307652473449707
contemplate	positive	NP V that S	subject	want	past	A contemplated that C happened	0.4745849072933197
report	positive	NP V to NP that S[+future]	object	believe	future	A reported to B that C would happen	0.6607173085212708
relearn	negative	NP V that S[+future]	subject	believe	future	A didn't relearn that C would happen	0.43761077523231506
marvel	positive	NP be V that S	subject	want	past	A was marvelled that C happened	0.7125615477561951
present	negative	NP V to NP that S	subject	believe	past	A didn't present to B that C happened	0.5130823850631714
assert	positive	NP V that S	subject	believe	past	A asserted that C happened	0.878764808177948
fuss	positive	NP V that S	subject	want	past	A fussed that C happened	0.14119160175323486
test	negative	NP be V that S[+future]	subject	want	future	A wasn't tested that C would happen	0.5092064738273621
stress	negative	NP V that S[+future]	subject	believe	future	A didn't stress that C would happen	0.45829230546951294
alert	negative	NP V NP that S[+future]	object	believe	future	A didn't alert B that C would happen	0.3893503248691559
hoot	negative	NP V that S[+future]	subject	want	future	A didn't hoot that C would happen	0.45158472657203674
mention	positive	NP V to NP that S	object	want	past	A mentioned to B that C happened	0.5444063544273376
explore	negative	NP V that S	subject	want	past	A didn't explore that C happened	0.4165893495082855
grin	positive	NP V that S	subject	want	past	A grinned that C happened	0.8914195895195007
narrate	negative	NP be V that S	subject	believe	past	A wasn't narrated that C happened	0.4723927080631256
relish	negative	NP V that S	subject	believe	past	A didn't relish that C happened	0.7997487187385559
embolden	positive	NP V that S[-tense]	subject	believe	future	A emboldened that C happen	0.7284161448478699
